Permalink,Comment
1463569313823812,Hey brat its about time someone fought back on FB and Twitter! They are BOTH BIASED AS YOU SOUND RIGHT NOW! HE is standing up for us numbnuts!
1463569313823812,Censorship is censorship....no matter which side you're on....
1463569313823812,The funny thing is I’ve never seen a liberal being fact checked EVER! That speaks volumes!
1463569313823812,So social media won't be able to sensor us any longer.
1463569313823812,"Justin is a troll or bot, don’t take the bait"
1463569313823812,"I WILL FORFEIT ALL MY BELONGINGS... To know my fellow man...sleeps free. To allow my grandbabies a wholesome future. An opportunity to know unconditional love and a freedom TO JUST BE!Take my home, my job, my Money. …See More"
1463569313823812,A bought fucking time
1463569313823812,Yep
1463569313823812,thank you Mr President :-)!!!!
1463569313823812,What a president. Haha they deserve it as this is not China. God bless him
1463569313823812,Finally!!!
1463569313823812,This seriously just made my entire year!
1463569313823812,I wish the president could be more gangster and get the strong arms out there to quiet the lies and shake down the media that lies ! Some of these reports we see are so one sided and yet nobody stands up for our president. Republicans have been to nice to democrats that lie.
1463569313823812,Facebook CEO back tracked on statements that would expose facebook for liability on users facebook post that is found to be .. an attack on someone like liable or slander meant to harm ones reputation or an OP-ed editorial that is posted with false info that would harm reputation of another as well be liable for herassing post aimed at another user
1463569313823812,Yes!! Absolutely!! Thank you Mr. President !!
1463569313823812,TRUE!!!
1463569313823812,Good
1463569313823812,Good on ya Mr President!
1463569313823812,"Way to go, Thank You Mr. President!"
1463569313823812,Bout time
1463569313823812,"Good for him!  It is time to stop the manipulating of Information!  He's doing the right thing.  If you don't think so, you don't get it!"
1463569313823812,Bout time
1463569313823812,Way to go Sir ! Love it
1463569313823812,Who's better than him!
1463569313823812,"WE FINALLY HAVE A PRESIDENT WITH BALLS, WHO FIGHTS TO THE VERY END, AND WINS EVERYTIME. GO TRUMP!♥️"
1463569313823812,Take down the corrupt circus.. I'm good with it.
1463569313823812,Your president
1463569313823812,"So?  He was asked to wear a mask when entering an area where medical equipment is being made  Yeah, masks are BS, but he was respectful to what they asked.  Good for him!"
1463569313823812,"""In those moments, Twitter ceases to be a neutral public platform and they become an editor with a viewpoint, and I think we can say that about others also,"" Trump said, referring to fact-check labels added to two of Trump's tweets on mail-in ballots, as some states make measures for voting amid the pandemic. ""And it's inappropriate."""
1463569313823812,It is fun to see all these left wings flushed out.
1463569313823812,Twitter stepped on POTUS communications.With Trump in the White House.…See More
1463569313823812,👍
1463569313823812,So happy this is finally happening!
1463569313823812,"And the Fascist Book police goons will get real jobs. Oh wait, they're just FN lazy worthless retards, almost forgot what pathetic loser sad sacks the Zark Fuckerberg employees are."
1463569313823812,"FN DEEP STATE LIBERALS NEED TO UNDERSTAND..YOU CAN'T BHAVE IT BOTH WAYS. EITHER YOUR AN ""EDITING"" PUBLISHER..or too much of cowards to ADMIT it..to circumvent decades of LAW."
1463569313823812,It needs to be applied to FACEFUCK as well. Enough of this nonsense of a Social Media Monopoly on free speech.
1463569313823812,Democracy dies in the DARK.
1463569313823812,Social media needs to go!!!
1463569313823812,AWESOME!! THANK YOU PRESIDENT TRUMP!!! 🇺🇸🇺🇸🇺🇸. LOCK THEM UP!
1463569313823812,"The right thing to do,Thank You"
1468543476659729,Are these more attacks from white nationalist? Is there a lot of white nationalist in Chicago?
1468543476659729,Let em burn there shit down then they won’t have anything and then build wall around all of Chicago
1468543476659729,Dollar tree . They rebuild that in a week
1468543476659729,Guess everything will be $2.00 now
1468543476659729,Thats got to be hundreds of dollars in merchandise!!!
1468543476659729,That's all of that awful smelling perfume going up in flames
1468543476659729,How about thousands of dollars if anything was left after the looting
1468543476659729,That’s what they do!
1468543476659729,insurrection - shoot them
1468543476659729,They don't care about all the people who have lost their jobs because of their violence.
1468543476659729,I can barely build a campfire. How are all these buildings burning? Seems like there's a high percentage of professional arsonists at these 'protests.' Interesting...
1468543476659729,"looks like these people aren't going to have anything to eat for a while, this needs to stop"
1468543476659729,No more protesting it's finished
1468543476659729,Yup another democrap shithole city. Why no riots in Helena or Boise for example? 😂
1468543476659729,I highly doubt that the people who live in this community are the ones burning it down.
1468543476659729,Democratic city burn
1468543476659729,Go ahead and ruin your home.....Idiots
1468543476659729,Good! Let's let karma weed these punks out. The South side is a shit hole
1468543476659729,Goodness gracious
1468543476659729,"Probably frequented by low income families, this is just sickening these thugs used to do this crap at night now they’re brazenly doing this in broad daylight, where is justice/law and order/national guard/military ??Do these criminals now have the run of our country ?? It sure seems so 😡😡😡"
1468543476659729,You know I have been to Chicago it is a beautiful place but the people there mostly foreign tourist are some of the rudest disrespectful people I have ever encountered
1468543476659729,Why would you burn down the store that people need in there neighborhood? This is cruel.
1468543476659729,Imagine all the plastic fumes in that fire!!!
1468543476659729,I dont know when it will be enough before obama and hollywood tells enough is enough
1468543476659729,If a foreign country came here and did this would we just sit back and do nothing 😡🇺🇸
1468543476659729,They took a break of killing each other so they could burn and loot.They are all stupid
1468543476659729,Heinous
1468543476659729,Well that will help poor people...:P
1468543476659729,I can’t help but think that someone non black burnt down the Dollar Tree out of retaliation unless someone is just that stupid.
1468543476659729,Idiots
1468543476659729,You dumd fuck
1468543476659729,THUGS!!
1468543476659729,O feel sorry for all of these blind dumb fucks
1468543476659729,The corrupt Deep$tate areas will reveal themselves... like Chicago for example.
1468543476659729,Aren't buildings like that supposed to have sprinkler systems?
1468543476659729,So sad and unnecessary
1468543476659729,Next week they will bitch about how they can't go to the store
1468543476659729,Where were the National Guard.  It’s time to take America back y’all!!!!
